"Shipment picked up","Pošiljka pobrana"
"Shipper Number","Številka pošiljatelja"
"Shipping Accept XML URL","XML URL sprejetja pošiljanja"
"Shipping Confirm XML URL","XML URL potrditve pošiljanja"
"Shipping Key","Ključ pošiljanja"
"Shipping Key (International)","Ključ pošiljanja (mednarodno)"
"Show Method if Not Applicable","Prikaz načina, če ni v uporabi"
"Signature Required","Zahtevan podpis"
"Size","Velikost"
"Small Express Box","Small Express Box"
"Smart Post","Smart Post"
"Sort Order","Vrstni red"
"Specific","Specific"
"Sprintline","Sprintline"
"Standard Overnight","Standard Overnight"
"Standard Post","Standard Post"
"Station","Postaja"
"Subtotal","Vmesna vsota"
"Subtotal With Discount","Vmesna vsota s popustom"
"The field is applicable if the Smart Post method is selected.","Polje se uporablja, če je izbran način Smart Post."
"The response is in wrong format.","Odziv je napačnega formata."
"There is no available method for selected shipping address.","Za izbrani naslov dostave ni na voljo nobene metode."
"There is no items in this order","V tem naročilu ni elementov"
"Third Party","Tretja oseba"
"Title","Naslov"
"To Lower","Navzdol"
"To Upper","Navzgor"
"Tracking XML URL","XML URL sledenja"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS po tleh"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","Okrogli tulec UPS"
"UPS Type","UPS način"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Worldwide Saver","UPS Worldwide Saver"
"USPS","USPS"
"USPS GXG Envelopes","Kuverte USPS GXG"
"Unable to retrieve tracking","Sledenja ni uspelo pridobiti"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Neznana napaka"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Uporabljeno samo, ko je ""Vrednost dodatne zaščite"" nastavljena na ""Nastavitev"". Vsebuje lahko samo numerični znesek."
"User ID","ID uporabnika"
"Variable","Spremenljivka"
"Waybill barcode information is missing","Manjkajo informacije o črtni kodi tovornega lista"
"Weight Unit","Enota teže"
"Weight unit is invalid","Enota teže ni veljavna"
"Width","Širina"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Wrong Content Type.","Napačna vrsta vsebine."
"Wrong Region.","Napačna regija."
"Yes","Da"
"Your Packaging","Vaše pakiranje"
"Zero shipping charge for '%s'","Brezplačna dostava za '%s'"
"cm","cm"
"inch","palec"
